"Property","en","pt-br","pt","pl","nl","lt","ja","it","id","hr","hi","gl","fr","fi","es-es","el","de-de","cs","ca","bg","sk","sh","ru","sr","sr-cs","ro","uk","tr","zh-tw","zh-cn"
"error_unknown","An unknown error occured.","Ocorreu um erro desconhecido.","Ocorreu um erro desconhecido.","Wystąpił nieznany błąd.","Er is een onbekende fout opgetreden.","Įvyko nežinoma klaida.","不明なエラーが発生しました。","Si è verificato un errore sconosciuto.","Terjadi kesalahan yang tidak dikenal.","Dogodila se nepoznata greška.","कोई अज्ञात त्रुटि उत्पन्न हुई।","Produciuse un erro descoñecido.","Une erreur inconnue est survenue.","Tuntematon virhe.","Se ha producido un error desconocido.","Παρουσιάστηκε άγνωστο σφάλμα.","Ein unbekannter Fehler ist aufgetreten.","Došlo k neznámé chybě.","S'ha produït un error desconegut.","Възникна неизвестна грешка.","Vyskytla sa neznáma chyba.","Dogodila se nepoznata greška.","Произошла неизвестная ошибка.","Појавила се непозната грешка.","Dogodila se nepoznata greška.","S-a produs o eroare necunoscută.","Сталася невідома помилка.","Bilinmeyen bir hata oluştu.","出現未知錯誤。","出现未知错误！"
"error_unknown_name","Unknown __name__.","__Name__ desconhecido.","_name_desconhecido.","Nieznany __name__.","Onbekende __name__.","Nežinomas __name__.","不明な__name__。","__Name__ sconosciuto.","__name__ tidak dikenal.","Nepoznato __ime__.","अज्ञात __name__।","__name__ descoñecido.","__name__ inconnu.","Tuntematon __name__.","__name__ desconocido.","Άγνωστο __name__.","Unbekannter __name__.","Neznámé __name__.","__name__ desconegut.","Неизвестен __name__.","Neznámy __name__.","Nepoznato __ime__.","Неизвестный __name__.","Непознато __name__.","Nepoznato __name__.","__name__ necunoscut.","Невідомий __name__.","Bilinmeyen __name__.","未知的 __name__。","未知的 __name__。"
"error_unknown_transaction_type","Invalid or unknown transaction type.","Transação inválida ou desconhecida.","Tipo de transacção inválido ou desconhecido.","Błędny lub nieznany typ transakcji.","Ongeldige of onbekende transactie soort.","Neleistinas arba nežinomas transakcijos tipas.","無効または不明なトランザクションの種類。","Tipo di transazione non valida o sconosciuta.","Jenis transaksi yang tidak valid atau tidak dikenal.","Pogrešan ili nepoznat tip transakcije.","अमान्य या अज्ञात लेनदेन का प्रकार।","Tipo de transacción inválida ou descoñecida.","Type de transaction invalide ou inconnu.","Virheellinen tai tuntematon tapahtuman tyyppi.","Tipo de transacción inválido o desconocido.",,"Ungültiger oder unbekannter Transaktionstyp.","Typ transakce neplatný nebo neznámý.","Tipus d'operació desconeguda o no vàlida.","Невалиден или неизвестен тип сделка.","Neplatný alebo neznámy typ transakcie.","Pogrešan ili nepoznat tip transakcije.","Недопустимый или неизвестный тип транзакции.","Погрешан тип трансакције.","Pogrešan tip transakcije.","Tipul de tranzacţie nevalid sau necunoscut.","Неприпустимий або невідомий тип транзакції.","Geçersiz veya bilinmeyen hesap hareket.","無效或未知的交易類型。","无效或未知的交易类型。"
"error_uri_empty","The URI is empty.","O URI está vazio.","O URI está vazio.","URI jest puste.","De URL is leeg.","URI yra tuščias.","URI が空です。","L'URI è vuoto.","URI kosong.","URI je prazan.","URI खाली है।","O URI está baleiro.","L'URI n'est pas spécifié.","URI on tyhjä.","El URI está vacío.","Η ηλεκτρονική διεύθυνση είναι κενή.","Die URI ist leer.","URI je prázdné.","L'URI està buida.","URI е празен.","URI je prázdne.","URI je prazan.","Пустой URI.","URI је празан.","URI je prazan.","Uri-ul este gol.","URI пустий.","URI boş.","URI 是空白的。","URI 是空白的。"
"error_whole_quantity","Quantity must be a whole number.","A quantidade deve ser um número inteiro.","A quantidade deve ser um número inteiro.","Ilość musi byc liczbą całkowitą.","Hoeveelheid moet een geheel getal zijn.","Kiekis turi būti pilnas skaičius.","量は整数である必要があります。","Quantità deve essere un numero intero.","Kuantitas harus bilangan.","Količina mora biti iskazana cijelim brojem.","मात्रा एक पूर्णांक होनी चाहिए।","A cantidade ten que ser un número enteiro.","La quantité doit être un nombre entier.","Määrän on oltava kokonaisluku.","La cantidad debe ser un número entero.","Η ποσότητα πρέπει να είναι ακέραιος αριθμός.","Menge muss eine ganze Zahl sein.","Množství musí být celé číslo.","Quantitat ha de ser un nombre enter.","Количеството трябва да бъде цяло число.","Množstvo musí byť celé číslo.","Količina mora biti iskazana cijelim brojem.","Количество должно быть целым числом.","Износ мора бити цео број.","Iznos mora biti ceo broj.","Cantitatea trebuie să fie un număr întreg.","Кількість повинна бути цілим числом.","Miktar bir tamsayı olması gerekiyor.","數量必須是整數。","数量必须是整数。"
"error_word_list","Could not load word list...","Não foi possível carregar a lista de palavras...","Não se conseguiu carregar a lista de palavras...","Lista słów nie została załadowana...","Woordenlijst kan niet worden geladen...","Nepavyko įkelti žodžių sąrašo...","単語リストをロードできませんでした.","Impossibile caricare l'elenco di parole...","Tidak dapat memuat daftar kata...","Nemogućnost učitanja liste riječi...","Word सूची को लोड नहीं कर सका...","Non se puido cargala lista de palabras...","Le chargement de la liste de mots a échoué...","Sanalistaa ei pystytty lataamaan...","No se pudo cargar la lista de palabras...","φόρτωση της λίστας λέξεων αδύνατη...","Wort-Liste konnte nicht geladen werden...","Nelze načíst seznam slov...","No s'ha pogut carregar la llista de paraules...","Не може да се зареди списък с думи...","Nepodarilo sa načítať zoznam slov...","Nemogućnost učitanja liste riječi...","Не удалось загрузить список слов...","Није могуће учитавање листе речи...","Nije moguće učitavanje liste reči...","Nu s-a putut încărca lista de cuvinte...","Не вдалося завантажити список слів...","Sözcük listesi yüklenemedi...","無法加載單詞列表...","无法加载单词列表..."
"error_wrong_buyer_for_alias","Wrong buyer for alias.","Comprador errado para o pseudônimo.","Comprador de alias errado.","Zły kupujący alias.","Verkeerde koper voor deze alias.","Neteisingas pseudonimo pirkėjas.","間違ったエイリアスの購買者",,"Pembeli alias salah.","Pogrešan kupac pseudonima.","उपनाम के लिए गलत खरीदार।",,"Mauvais acheteur pour l'alias.","Väärä ostaja aliakselle.","Comprador de alias equivocado.","Λάθος αγοραστής για το ψευδώνυμο.","Falscher Käufer für dieses Alias.","Nesprávný kupující pro alias.","Comprador àlies equivocat.","Грешен купувач на псевдоним.","Nesprávny kupujúci aliasu.","Pogrešan kupac pseudonima.","Неверный покупатель псевдонима.","Погрешан купац алиас-а.","Pogrešan kupac alias-a.","Cumpărător greşit pentru alias.","Невірний покупець псевдоніма.","Rumuz için yanlış alıcı.","別名的錯誤購買者。","别名的错误购买者。"
"experimental_release","Experimental Release","Versão experimental","Versão Experimental","Eksperymentalne Wydanie","Experimentele Uitgave","Eksperimentinė versija","試験的リリース","Rilascio sperimentale","Percobaan Rilis","Eksperimentalna inačica","प्रयोगात्मक रिलीज","Versión experimental","Version bêta","Kokeellinen julkaisu","Versión Experimental","πειραματική έκδοση","Experimentelle Version","Zkušební verze","Versió experimental","Експериментално издание","Experimentálna verzia","Eksperimentalna inačica","Экспериментальный релиз","Експериментална Верзија","Eksperimentalna Verzija","Versiune Experimentală","Експериментальний реліз","Deneysel yayın","測試版本發佈","测试版本发布"
"export_contact","Export Contacts","Exportar contatos","Exportar Contactos","Eksport kontaktów","Exporteer Contacten",,,,,,"संपर्क निर्यात करें",,"Exporter des contacts",,"Exportar contactos","Εξαγωγή επαφών","Kontakte exportieren","Exportovat kontakty","Exportar els contactes","Експортирай контактите",,,,,,"Exportă Contacte","Експортувати контакти","Kişileri çıkart",,
"failed","Failed","Falhou","Errou","Nie udało się","Mislukt","Nepavyko","失敗","Fallito","Gagal","Neuspjeh","में असफल रहा","Errado","Échoué","Epäonnistui","Fallo","απέτυχε","Fehlgeschlagen","Nepodařilo se","Error","Неуспешно","Neúspešne","Neuspjeh","Не удалось","Није успело","Nije uspelo","Eşuat","Не вдалося","Başarısız","失敗","失败"
"fee","Fee","Taxa","Taxa","Koszt","Vergoeding","Mokestis","料金","Commissione","Biaya","Provizija","फीस","Comisión","Frais","Siirtomaksu","Tarifa","Προμήθεια","Gebühr","Poplatek","Taxa","Такса","Poplatok","Provizija","Комиссия","Провизија","Provizija","Taxă","Комісія","Ücret","費用","费用"
"feedback","Feedback","Comentários","Comentários","Informacja zwrotna",,"Atsiliepimas","フィードバック",,"Umpan balik","Povratna informacija","आपके सुझाव","Comentarios","Donner votre avis","Palaute","Comentarios","Απάντηση / Αξιολόγηση",,"Zpětná vazba","Comentaris","Отзиви","Spätná väzba","Povratna informacija","Обратная связь","Повратне информације","Povratna informacija","Comentarii","Зворотній зв'язок","Geri bildirim","反饋","反馈"
"feedback_given","Feedback Given","Feedback dado","Valoração Enviada","Informacje zwrotne","Feedback gegeven","Atsiliepimas pateiktas","与えられたフィードバック","Feedback inviato","Umpan balik yang diberikan","Povratna informacija ostavljena","प्रतिक्रिया दी","Valoración enviada","Avis déjà donné","Annettu palaute","Valoración Enviada","Aνταπόκριση εστάλθηκε","Feedback abgegeben","Poskztnuta zpětná vazba","Comentaris enviats","Предоставена обратна информация","Spätná väzba","Povratna informacija ostavljena","Обратная связь предоставлена","Повратна Информација је Остављена","Povratna Informacija je Ostavljena","Feedback-ul trimis","Зворотний зв'язок наданий","Verilen geri bildirim","給出反饋","给出反馈"
"feedback_note","Feedback Note","Nota do feedback","Comentário","Notatka o informacji zwrotnej","Opmerking","Atsiliepimo pastaba","フィードバックのメモ ","Feedback","Tanggapan","Poruka povratne informacije",,"Comentario","Billet de commentaire","Palautteen viesti","Comentario",,"Feedback-Hinweis","Zpětná vazba","Comentari","Бележка отзив","Poznámka spätnej väzby","Poruka povratne informacije","Отзыв","Порука Повратне Информације","Poruka Povratne Informacije","Notiță Feedback","Відгук",,"反饋備註","反馈备注"
"feedback_note_nonce","Feedback Note Nonce","Nonce da nota do feedback","Valor de Segurança do Comentário","Chwilowa notatka o informacji zwrotnej","Feedback Opmerking Nonce","Atsiliepimas","フィードバックのメモのナンス","Nonce della nota di feedback","Nonce catatan umpan balik","Povratna poruka",,"Suxestion de nota","Nonce de signature du billet","Palautteen viestin nonce","Valor de Seguridad del Comentario","Σημείωση απάντησης ή αξιολόγησης","Feedback-Nonce","Nonce poznámky ke zpětné vazbě","Valor de Seguretat del Comentari","Бележка за отзив в случая","Spätná väzba Nonce","Povratna poruka","Отзыв отсутствует","Повратна Порука","Povratna Poruka","Notiță Nonce pe Feedback ","Відгук відсутній",,"反饋備註驗證碼","反馈备注验证码"
"find_asset_id_help","Find the ID on the issuer's website or announcement page.","Encontre o ID na página do anúncio ou no site do emitente.","Encontre o ID na página do anúncio ou no site do emitente.","Znajdz ID na stronie emitenta lub wśród ogłoszeń.","Zoek de ID van het betreffend asset op de website van de uitgever of op de aankondiging pagina.","Ieškokite emitento ID interneto svetainėje arba skelbimų puslapyje.","発行者のウェブサイトまたはお知らせページでID を探してください。","Trovare l'ID sul sito internet dell'emittente o sulla pagina dei comunicati.","Menemukan ID pada halaman website atau pengumuman Emiten.","Pronađite ID na web stranicama izdavatelja ili najavnoj stranici.","ID प्रदाता की वेबसाइट या घोषणा पृष्ठ पर खोजें।","Busque o ID na páxina web ou o anuncio do emisor.","Trouvez l'identifiant de l'actif sur le site web de l'émetteur ou sur la page d'annonce.","Etsi ID liikkeellelaskijan kotisivuilta tai ilmoitussivulta.","Busque el ID en la página web o el anuncio del emisor.","Βρείτε το ID στη ιστοσελίδα ή ανακοίνωση του εκδότη.","Finden Sie die ID auf der Website des Ausstellers oder der Ankündigungsseite.","Najdete ID na stránce webové stránce vydavatele nebo na stránce Oznámení.","Troba la ID de l'emissor en la seva pàgina web o al seu anunci.","Намерете ИД в сайта на издателя или на страницата с обяви.","Nájdite ID na webovej stránke vydavateľa alebo na stránke oznamu.","Pronađite ID na web stranicama izdavatelja ili najavnoj stranici.","Найдите идентификатор (ID)  на веб-сайта эмитента или на странице анонсов.","Пронађите ID на wеб страници издаваоца или на главној страници.","Pronađite ID na web stranici izdavaoca ili na glavnoj stranici.","Găsiți ID-ul pe pagina anunțului sau site-ul emitentului.","Знайдіть ідентифікатор (ID) на веб-сайту емітента або на сторінці анонсів.",,"在發行者的網站或公告頁面上找到 ID。","在发行者的网站或公告页面上找到 ID 。"
"committed_balance","Committed Balance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"forged_balance","Forged Balance","Saldo forjado","Saldo Forjado",,"Gegenereerd saldo","Iškaltas' balansas","鋳造残高","Saldo forgiato","Keseimbangan Palsu","Saldo kovanja","फोर्ज शेष","Saldo forxado","Balance forgée","Taottu saldo","Saldo Forjado",,"Guthaben aus generierten Blöcken",,"Saldo forjat","Изкована наличност","Zostatok kovania","Saldo kovanja","Нафорженый баланс","Салдо Ковања","Saldo Kovanja","Sold Forjat","Форжинг баланс",,"鍛造餘額","锻造余额"
"forged_blocks","Forged Blocks","Blocos forjados",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"forged_by_you","Forged By You","Forjado por você","Forjado por Você","Wyforgingowane przez Ciebie","Door u gegenereerd","Jūsų 'iškalti","あなたによる鋳造","Forgiato da te","Terbuat oleh Anda","Iskovali ste","आपके द्वारा फोर्ज किया गया","Forxado por vostede","Forgés par vous","Sinun takomiasi","Forjado Por Usted","Εξορύχθει από εσάς","Von Ihnen generierte Blöcke",,"Forjat per vostè","Изковано от вас","Kované vami","Iskovali ste","Сфоржено вами","Исковали сте","Iskovali ste","Forjat de tine","Сфоржено вами",,"由您鍛造","由您锻造"
"forged_fees_total","Forged Fees Total","Total de taxas forjado","Total de Taxas Forjadas","Koszta forgingu","Gegenereerde verdiensten totaal","Iškalta' viso mokesčių","鋳造料の合計","Totale commissioni forgiate","Jumlah biaya penyusunan","Ukupne provizije kovanja","फोर्ज की कुल फीस","Total de comisións forxadas","Total des frais forgés","Taotut siirtomaksut yhteensä","Total de Tarifas Forjadas",,"Gebühren aus generierten Blöcken gesamt",,"Total Taxes forjades","Всичко такси за коване","Provízia za kovanie celkom","Ukupne provizije kovanja","Всего нафоржено комиссии","Укупна Искована Провизија","Ukupna Provizija Kovanja","Total Taxe Forjate","Всього нафоржено комісії",,"鍛造費用總計","锻造费用总计"
"fork_warning","<strong>Warning</strong>: You are most likely on a fork (you have forged the last 10 blocks).","Aviso: você provavelmente está em um fork (você forjou os últimos 10 blocos).","<strong>Aviso</strong>: É provável que se encontre numa bifurcação (você forjou os últimos 10 blocos).","<strong>Uwaga</strong>: Jesteś w forku (przez co najmniej ostatnie 10 bloków).","<strong>Waarschuwing</strong>: U bent waarschijnlijk op een vork (U heeft de laatste 10 blokken gesmeed).","<strong>Įspėjimas</strong>: labiausiai tikėtinai Jūs esate ne toje blokų grandinėje ('iškalėte' 10 paskutinių blokų).","<strong>警告</strong>：あなたはフォーク（分岐）にいる可能性が最も高いです（最新の10ブロックはあなたが鋳造しました）。","<strong>Attenzione</strong>: molto probabilmente siete su una biforcazione (hai forgiato gli ultimi 10 blocchi).","<strong>Peringatan</strong>: Anda berada di fork (Anda telah membentuk 10 blok terakhir).","<strong>Upozorenje</strong>: Najvjerojatnije ste na forku (iskovali ste posljednjih 10 blokova).","चेतावनी: अधिक संभावना है आप fork पर हैं (आपने पिछले 10 ब्लॉक फोर्ज किये है)।","<strong>Aviso</strong>: É probable que se atope nunha bifurcación (vostede ten forxado os últimos 10 bloques).","<strong>Avertissement</strong> : vous êtes très probablement sur une bifurcation de la blockchain (vous avez forgé les 10 derniers blocs.)","<strong>Varoitus</strong>: Olet todennäköisesti lohkoketjun sivuhaarassa (olet takonut viimeiset 10 lohkoa).","<strong>Aviso</strong>: Es probable que se encuentre en una bifurcación (usted ha forjado los últimos 10 bloques).",,"<strong>Warnung</strong>: Sie sind sehr wahrscheinlich auf einem Fork (Sie haben die letzten 10 Blöcke generiert).",,"Avís: Vostè és molt probable que estigueu en un Fork del Blockchain (que ha estat forjant el últims 10 blocs).","Предупреждение: Вие сте най-вероятно в разклонение (изковали сте последните 10 блока).","<strong>Upozornenie</strong>: ste pravdepodobne na forku (ukovali ste posledných 10 blokov).",,"<strong>Предупреждение</strong>: вы скорее всего на ветвлении (вы сфоржили последние 10 блоков).","<strong>Пажња</strong>: Највероватније сте на форк-у (исковали сте последњих 10 блокова).","<strong>Pažnja</strong>: Najverovatnije ste na fork-u (iskovali ste poslednjih 10 blokova).","Avertisment: Este foarte probabil sa fi pe un fork (ai forjat ultimele 10 blocuri).","<strong>Попередження</strong>: ви швидше за все на галуженні (ви сфоржили останні 10 блоків).",,"<STRONG>警告</ STRONG>：您很可能處在分叉上（您已經鍛造了最近的10個區塊）。","<strong>警告</strong>： 您很可能处在分叉上（您已经锻造了最近的10个区块）。 "
"form_warnings","Form Warnings","Avisos do formulário","Avisos do Formulário","Ostrzeżenia formularza","Formulier waarschuwingen","Suformuoti įspėjimus","フォームの警告","Avvisi del form","Bentuk peringatan","Polje upozorenja","प्रपत्र चेतावनियाँ","Avisos de Formulario","Avertissements","Lomakkeen varoitukset","Avisos del Formulario","προειδοποιήση μορφής","Formular-Warnungen",,"Formularis d'Avisos","Форми за предупреждения","Upozornenia formulárov","Polje upozorenja","Формы предупреждений","Тренутно не кујете","Polje Upozorenja","Personalizare Avertismente","Форми Попередження",,"窗體警告","窗体警告"
"form_warnings_help","Show a warning when an amount / fee entered is higher than specified below.","Mostrar um aviso quando a quantia / taxa escolhida for maior que a quantia especificada abaixo.","Mostrar um aviso quando a quantidade/taxa introduzida é maior do que a especificada cá.","Ostrzegaj kiedy wprowadzona do formularza kwota / kosztu jest większa niż podano poniżej.","Geef een waarschuwing weer wanneer een bedrag of vergoeding hoger is dan de gekozen hoeveelheid.","Rodyti perspėjimą, kai įvesta suma / mokestis yra didesnis nei nurodyta žemiau.","入力した量や料金が以下に指定したものより高い場合は警告を出します。","Mostra un avviso quando l'ammontare / commissione è maggiore di quanto specificato sotto.","Tampilkan peringatan ketika jumlah biaya masuk lebih tinggi daripada yang tertulis di bawah ini.","Prikaži upozorenje kad je iznos / provizija veći od ispod prikazanog iznosa.","चेतावनी दिखाएँ जब एक मात्रा / शुल्क नीचे निर्दिष्ट की तुलना उच्च हों।","Prikaži upozorenje kad je iznos / naknada veća od ispod navedenog iznosa.","Afficher un avertissement lorsqu'un montant, les frais, ou les assets sont plus élevés que ceux spécifiés ci-dessous.","Näytä varoitus kun summa / siirtomaksu ylittää alla määritetyt rajat.","Mostrar un aviso cuando la cantidad / tarifa introducida es mayor que la especificada aquí.","Δείξε μια προειδοποίηση όταν ένα ποσό ή μια προμήθεια που τέθηκε είναι υψηλότερη από εκείνη που καθορίζεται παρακάτω.","Zeigt eine Warnung, wenn ein eingegebener Betrag/Gebühr höher ist als unten angegeben.","Zobrazit výstrahu, pokud množství / poplatek je vyšší než zadaný níže.","Mostreu un avís quan una quantitat / preu introduïda sigui superior al que s'especifica a continuació.","Покажи предупреждение, когато въведената сума / такса е по-висока от посочената по-долу.","Zobraziť upozornenie ak je zadaná čiastka / poplatok vyššia ako je uvedené nižšie.","Prikaži upozorenje kad je iznos / provizija veći od ispod prikazanog iznosa.","Показывать предупреждение, когда введенные сумма / комиссия выше чем указано ниже.","Прикажи упозорење када је износ/ провизија већа од испод приказаног износа.","Prikaži upozorenje kada je iznos/ provizija veća od ispod prikazanog iznosa.","Arată o avertizare atunci când o cantitate / taxă introdusă este mai mare decât cele specificate mai jos.","Показувати попередження, коли введені сума / комісія, є вище, ніж вказано нижче.","Girilen bir miktar / ücret aşağıda belirtilen değerden yüksek olduğunda bir uyarı göster.","當輸入的數量/費用高於下面的具體數目時顯示警告。","当输入的数量/费用高于下面的具体数目时显示警告。"
"for_sale_direct","For Sale (Direct)","À venda (direta)","À Venda (Direta)","Na sprzedaż (bezpośrednio)","Te koop (Direct)","Parduoti (tiesiogiai)","売り物件 (直接)","In vendita (diretto)","Dijual (langsung)","Na prodaju (direktno)","बेचना है (सीधे)","Á venda (directa)","En vente à un compte spécifique","Myytävänä (suora)","En Venta (Directa)","Προς πώληση (απευθείας)","Zu Verkaufen (Direkt)","Na prodej (přímo)","En venda (directe)","За продажба (директно)","Na predaj (priamo)","Na prodaju (direktno)","Для продажи (прямой)","На Продају (Директно)","Na Prodaju (Direktno)","De vânzare (Direct)","Для продажу (прямоi)",,"出售(直接)","出售(直接)"
"for_sale_indirect","For Sale (Indirect)","Para venda (indireta)","À Venda (indireta)","Na sprzedaż (Ipośrednio)","Te koop (Indirect)","Parduodama (netiesiogiai)","売り物件 (間接)","In vendita (indiretta)","Untuk dijual (tidak langsung)","Na prodaju (indirektno)","बिक्री के लिए (अप्रत्यक्ष)","Á Venda (Indirecta)","À vendre","Myytävänä (epäsuora)","En Venta (Indirecta)","Προς πώληση (προς όλους)","Zu verkaufen (indirekt)","Na prodej (nepřímo)","En venda (indirecte)","За продажба (индиректно)","Na predaj (nepriamo)","Na prodaju (indirektno)","На продажу (свободную)","На Продају (Индиректно)","Na Prodaju (Indirektno)","De vânzare (Indirect)","Для продажу (непрямого)",,"出售(間接)","出售 (间接)"
"free_memory","Free Memory","Memória livre","Memória livre","Wolna pamięć","Vrij Geheugen","Laisva atmintis","空きメモリ","Memoria libera","Memori belum terpakai","Slobodna memorija","मुक्त मेमोरी","Memoria libre","Mémoire disponible","Vapaa muisti","Memoria Libre","Ελεύθερη μνήμη","Freier Speicher","Volná paměť","Memòria lliure","Свободна памет","Voľná pamäť","Slobodna memorija","Свободная память","Слободна Меморија","Slobodna Memorija","Memorie Liberă","Вільна пам'ять","Boş Hafıza","可用内存","可用内存"
"from","From","De","De","Od","Van","Iš","差出人","Da","Mulai","Od","से","De","De","Lähettäjä","De","Από","Von","Od","De","От","Od","Od","От","Од","Od","De la","Від",,"從","从"
"full_hash","Full Hash","Hash completo","Hash Completo","Kompletny hash","Volledige Hash","Visas 'hash","完全ハッシュ","Hash completo","Hash penuh","Kompletan hash",,"Hash completo","Hachage complet","Koko tarkiste","Hash Completo",,"Kompletter Hash","Úplný hash","Hash Complert","Пълен хеш","Kompletný Hash","Kompletan hash","Полный хэш","Комплетан Hash","Kompletan Hash","Hash complet","Повний хеш",,"完整哈希","完整哈希"
"full_transaction_hash","Full Transaction Hash","Hash completo da transação","Hash de Transação Completa","Kompletny hash transakcji","Volledige transactie Hash","Pilnas transakcijos 'hash","完全なトランザクションハッシュ","Hash di Transazione completa","Transaksi penuh Hash","Hash cijele transakcije","पूरा गतिविधि हैश","Hash de transacción completa","Hachage complet de la transaction","Täyden tapahtuman tarkiste","Hash de Transacción Completa",,"Vollständiger Transaktions-Hash",,"Transacció completa del Hash","Пълен хеш на сделка","Hash celej transakcie","Hash cijele transakcije","Полный хэш транзакции","Hash Целе Трансакције","Hash Cele Transakcije","Hash-ul întreg al tranzacţiei","Повний хеш транзакції",,"完整的交易哈希","完整的交易哈希"
"general","General","Geral","Geral","Powszechny","Algemeen","Pagrindinis","一般","Generale","Umum","Općenito","सामान्य","Xeral","Général","Yleiset",,"Γενικά","Allgemein","Obecné",,"Общи","Všeobecné","Općenito","Общие","Генерално","Generalno",,"Загальні",,"常規","常规"
"general_release","General Release","Lançamento geral","Versão Geral","Powszechne wydanie","Standaard Versie","Pagrindinė versija","一般リリース","Rilascio generale","Rilis umum","Osnovna inačica","जनरल रिलीज","Versión Xeral","Version stable","Yleinen julkaisu","Versión General","Γενική έκδοση","Stabile Version",,"Versió estable","Основно издание","Hlavná verzia","Osnovna inačica","Основной релиз","Редовна Верзија","Redovna Verzija","Lansare Generală","Генеральний реліз",,"通用版本","通用版本"
"generate","Generate","Gerar","Gerar","Wygenerowany","Genereer","Generuoti","生成","Genera","Menghasilkan","Generirajte","उत्पन्न","Xenerar","Générer","Luo","Generar","Δημιουργία","Generieren","Generovat","Generar","Генерирай","Vygenerovať","Generirajte","Генерировать","Генеришите","Generišite","Generare","Генерувати",,"生成","生成"
"generate_qr","Generate QR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"generated_token_is","The generated token is:","O token gerado é: ","O identificador gerado é:","Wygenerowany token:","Het gegenereerde token is:","Sukurtas atpažinimo ženklas yra:","生成されたトークンは：","Il token generato è:","Token yang dihasilkan adalah:","Generirani token je:","उत्पन्न टोकन है: ","O identificador xerado é:","Le jeton généré est :","Luotu tunnus on:","El identificador generado es:",,"Das generierte Token lautet:","Vygenerovaný token je: ","El Token generat és: ","Генерираният маркер е: ","Generovaný token je:","Generirani token je: ","Сгенерированный токен:","Генерисан токен је:","Generisan token je:","Token-ul generat este: ","Згенерований маркер є:",,"生成的令牌是：","生成的令牌是："
"generate_token","Generate Token","Gerar o token","Gerar Identificador","Generuj Token","Genereer 'Token","Generuoti atpažinimo žymę","トークンを生成","Genera Token","Menghasilkan Token","Generiraj token","टोकन जनरेट","Xerar identificador","Générer un jeton","Luo tunniste","Generar identificador","Δημιουργία Διακριτικού","Token generieren","Generovat Token","Generar el Token","Генериране на маркер","Vygenerovať Token","Generiraj token","Создать Токен","Генеришите Токен","Generišite Token","Generare Token","Генерувати маркер",,"生成令牌","生成令牌"
"generating_passphrase_wait","Generating your passphrase. Please wait","Gerando a sua senha. Por favor, aguarde","Gerando a sua senha. Por favor, aguarde","Trwa generowanie hasła. Proszę czekać","Bezig met genereren van uw wachtwoord. Een ogenblik geduld a.u.b.","Generuojamas Jūsų slaptažodis. Prašome palaukti","パスフレーズを生成しています。お待ちください。","Generando la passphrase. Attendere prego","Menghasilkan password. Harap tunggu","Generiramo vašu lozinku. Molimo pričekajte","अपने पदबंध (passphrase) जनरेट कर रहा है। कृपया प्रतीक्षा करो","Xerando o seu contrasinal. Por favor, agarde","Votre phrase de passe est en cours de génération. Merci de patienter","Luodaan tunnuslausettasi. Odota hetki","Generando su contraseña. Por favor, espere",,"Ihre Passphrase wird generiert. Bitte warten Sie.","Generování vašeho přístupového hesla. Prosím vyčkejte.","Generant la vostre contrasenya. Si us plau, esperi","Генериране на парола. Моля, изчакайте","Vaše heslo sa generuje. Počkajte prosím","Generiramo vašu lozinku. Molimo pričekajte","Генерация пароля. Пожалуйста подождите","Генеришемо вашу лозинку. Молимо Вас сачекајте","Generišemo vašu lozinku. Molimo Vas sačekajte","Se generează parola ta. Te rugăm să aştepţi","Створення вашої парольної фрази. Будь ласка, зачекайте",,"正在生成您的密碼。請稍候","生成您的密码。请稍候"
"generation_signature","Generation Signature","Assinatura de geração","Assinatura de Geração","Generowanie sygnatury","Genereer Handtekening",,"署名発行","Firma di generazione","Generasi Menandatangani","Generiranje potpisa",,"Firma de xeración","Génération de la signature","Luonnin allekirjoitus","Firma de Generación","Υπογραφή δημιουργίας","Generierungshash","Generování podpisu","Generació de la signatura","Създаване на подпис","Generovanie podpisu","Generiranje potpisa","Создание подписи","Генерисање Потписа","Generisanje Potpisa","Generare semnătură","Створення підпису",,"生成簽名","生成签名"
"generator","Generator","Gerador","Gerador",,,"Generatorius","ジェネレーター","Generatore",,,"जेनरेटर","Xerador","Générateur","Luoja","Generador","Γεννήτρια",,"Generátor","Generador","Генератор","Generátor",,"Генератор","Генератор",,,"Генератор",,"產生者","产生者"
"generator_public_key","Generator Public Key","Chave pública do gerador","Chave Pública do Gerador","Generator klucza publicznego","Openbare sleutel van de generator","Viešojo rakto generatorius","公開キーのジェネレーター","Generatore della Chiave Pubblica","Generator Kunci Publik","Generator javnog ključa",,"Crave pública do xerador","Générateur de clé publique","Luojan julkinen avain","Clave Pública del Generador",,"Öffentlicher Schlüssel des Generierers","Generátor veřejného klíče","Generar Clau Pública","Генератор публичен ключ","Generátor verejného kľúča","Generator javnog ključa","Генератор открытого ключа","Генератор Јавног Кључа","Generator Javnog Ključa","Cheia Publică Generator","Генератор Відкритого ключа",,"生成公匙","生成公钥"
